modelo,accuracy,precision,recall,f1_score
Logistic Custom (Default),0.8483341621084037,0.7294761532447225,0.6211717709720372,0.6709816612729234
Tree Custom (Default),0.8606000331510029,0.7906772207563765,0.5985352862849534,0.6813186813186813
Logistic Sklearn (Default),0.8547986076578816,0.7504,0.6245006657789614,0.6816860465116279
Tree Sklearn (Default),0.8612630532073595,0.793468667255075,0.5985352862849534,0.6823529411764706
Logistic Custom (Optimizado),0.8556273827283275,0.7562956945572705,0.6198402130492676,0.68130259787779
Tree Custom (Optimizado),0.860765788165092,0.7924028268551236,0.5972037283621837,0.6810933940774487
Logistic Sklearn (Optimizado),0.8546328526437925,0.7518130539887188,0.6211717709720372,0.6802770689026614
Tree Sklearn (Optimizado),0.8567876678269518,0.8026565464895635,0.563249001331558,0.6619718309859155
